q_id,web_list
129,"[1607, 1186, 901, 368, 1896]"
130,"[1655, 1555, 1722, 84, 1617]"
131,"[649, 807, 659, 884, 1573]"
132,"[1907, 1892, 1561, 1560, 891]"
133,"[1573, 18, 1204, 1267, 807]"
134,"[18, 807, 1567, 1204, 1573]"
135,"[1825, 739, 1186, 608, 1863]"
136,"[18, 807, 401, 1574, 632]"
137,"[884, 18, 1894, 54, 57]"
138,"[1567, 18, 807, 1573, 1896]"
139,"[1574, 886, 18, 807, 1544]"
140,"[18, 807, 1204, 1574, 1536]"
141,"[18, 807, 1915, 1204, 1438]"
142,"[1906, 1899, 1589, 1916, 1629]"
143,"[1574, 18, 1193, 1882, 1025]"
144,"[18, 807, 1204, 1573, 606]"
145,"[807, 18, 1204, 1573, 16]"
146,"[44, 18, 807, 1717, 16]"
147,"[1574, 18, 1573, 1266, 1778]"
148,"[1567, 606, 18, 807, 16]"
149,"[18, 1204, 807, 606, 1573]"
150,"[901, 1072, 1574, 1573, 108]"
151,"[1915, 672, 1861, 160, 420]"
152,"[807, 1574, 884, 1567, 18]"
153,"[406, 407, 1574, 18, 425]"
154,"[403, 1567, 1742, 807, 18]"
155,"[692, 1573, 1601, 18, 807]"
156,"[18, 807, 1567, 1574, 37]"
157,"[884, 1574, 480, 54, 58]"
158,"[103, 1896, 868, 1748, 1589]"
159,"[18, 606, 114, 1573, 16]"
160,"[18, 887, 885, 807, 1664]"
161,"[868, 1573, 1574, 103, 807]"
162,"[18, 1567, 1193, 503, 606]"
163,"[1573, 18, 1574, 1567, 807]"
164,"[480, 18, 807, 1894, 1266]"
165,"[18, 1525, 807, 661, 1560]"
166,"[18, 807, 16, 501, 606]"
167,"[353, 420, 665, 868, 628]"
168,"[18, 807, 218, 1006, 242]"
169,"[18, 606, 1929, 1574, 1249]"
170,"[452, 1643, 1252, 1300, 1809]"
171,"[533, 1898, 1730, 1582, 905]"
172,"[1567, 1907, 501, 16, 18]"
173,"[1573, 807, 18, 1287, 1611]"
174,"[807, 1573, 1194, 18, 884]"
175,"[925, 924, 938, 928, 931]"
176,"[807, 784, 1574, 884, 1204]"
177,"[18, 1574, 1584, 807, 58]"
178,"[18, 807, 1574, 1567, 1543]"
179,"[612, 1201, 18, 807, 1737]"
180,"[807, 1204, 1900, 1544, 1574]"
181,"[884, 135, 1903, 58, 57]"
182,"[18, 606, 807, 1204, 1573]"
183,"[1612, 1066, 1064, 1065, 1194]"
184,"[807, 1204, 1574, 417, 1544]"
185,"[1594, 1597, 1517, 1595, 1583]"
186,"[1896, 1607, 1906, 1157, 1193]"
187,"[1554, 1489, 1564, 884, 1542]"
188,"[1573, 1884, 1924, 478, 116]"
189,"[807, 1573, 16, 468, 73]"
190,"[1915, 1900, 1157, 473, 1252]"
191,"[114, 1573, 127, 807, 1710]"
192,"[886, 1149, 1193, 1620, 1778]"
193,"[480, 18, 807, 403, 1567]"
194,"[1567, 37, 18, 1574, 95]"
195,"[807, 1574, 18, 480, 1204]"
196,"[1922, 1897, 1574, 103, 811]"
197,"[403, 1825, 807, 18, 884]"
198,"[884, 1619, 1618, 807, 891]"
199,"[884, 807, 1611, 1929, 57]"
200,"[1573, 807, 649, 635, 18]"
201,"[1193, 1033, 1882, 807, 1778]"
202,"[1611, 807, 1194, 18, 1574]"
203,"[807, 18, 403, 44, 16]"
204,"[1607, 901, 1825, 1896, 635]"
205,"[561, 1900, 544, 1194, 1611]"
206,"[1525, 18, 807, 1204, 650]"
207,"[807, 16, 1204, 1573, 884]"
208,"[807, 18, 1461, 692, 1204]"
209,"[18, 1574, 480, 807, 606]"
210,"[67, 730, 930, 731, 1630]"
211,"[1461, 561, 478, 807, 1611]"
212,"[811, 868, 18, 103, 807]"
213,"[1567, 1904, 18, 16, 1573]"
214,"[438, 54, 57, 58, 1724]"
215,"[1567, 18, 807, 1574, 480]"
216,"[1573, 18, 1204, 606, 807]"
217,"[884, 1204, 1574, 807, 662]"
218,"[1588, 1906, 1561, 1528, 1885]"
219,"[807, 18, 1204, 1679, 16]"
220,"[1204, 1573, 18, 1249, 1574]"
221,"[1544, 1896, 697, 1543, 884]"
222,"[1934, 57, 54, 58, 48]"
223,"[1574, 1583, 1778, 1611, 807]"
224,"[1896, 1567, 1889, 18, 1072]"
225,"[1906, 1528, 901, 1596, 1611]"
226,"[807, 18, 1006, 1204, 1573]"
227,"[1539, 884, 1587, 1554, 46]"
228,"[114, 1191, 807, 884, 1573]"
229,"[1573, 660, 1574, 18, 1204]"
230,"[1567, 37, 1574, 18, 480]"
231,"[452, 1249, 1561, 361, 1068]"
232,"[1573, 1574, 18, 1539, 1564]"
233,"[1249, 16, 1573, 114, 18]"
234,"[884, 57, 58, 54, 807]"
235,"[18, 1573, 1915, 807, 1896]"
236,"[114, 1573, 807, 58, 535]"
237,"[1588, 1574, 1564, 18, 1927]"
238,"[1043, 921, 1832, 160, 543]"
239,"[1594, 1596, 1584, 439, 1585]"
240,"[807, 18, 1723, 1204, 884]"
241,"[18, 1204, 606, 807, 1573]"
242,"[1033, 1034, 1193, 1065, 1520]"
243,"[1567, 403, 18, 1896, 16]"
244,"[1249, 1587, 1596, 1593, 1585]"
245,"[1574, 478, 807, 1194, 1573]"
246,"[368, 1896, 108, 891, 1072]"
247,"[480, 403, 73, 884, 18]"
248,"[18, 1573, 807, 480, 54]"
249,"[1113, 455, 1922, 1897, 114]"
250,"[18, 807, 1573, 1574, 1204]"
251,"[1601, 1611, 901, 109, 1249]"
252,"[1567, 16, 18, 1204, 1249]"
253,"[807, 18, 1204, 403, 1573]"
254,"[1924, 478, 1884, 807, 1573]"
255,"[18, 807, 1574, 1457, 403]"
256,"[1602, 1157, 1186, 1607, 368]"
257,"[18, 807, 1266, 661, 1574]"
258,"[807, 18, 160, 649, 403]"
259,"[18, 1574, 807, 1573, 884]"
260,"[661, 18, 807, 1574, 655]"
261,"[1567, 18, 1525, 1894, 807]"
262,"[1561, 1921, 1066, 1194, 1560]"
263,"[407, 406, 425, 1666, 886]"
264,"[108, 1574, 1344, 368, 891]"
265,"[478, 1924, 1563, 1574, 1585]"
266,"[18, 1574, 419, 1032, 1193]"
267,"[1655, 1617, 1194, 672, 891]"
268,"[478, 1924, 18, 1573, 1204]"
269,"[18, 691, 1896, 1574, 807]"
270,"[18, 807, 16, 82, 1567]"
271,"[1929, 1592, 18, 1680, 1204]"
272,"[1052, 1054, 886, 1666, 1574]"
273,"[501, 1508, 1404, 1509, 1511]"
274,"[1896, 1193, 1349, 1912, 18]"
275,"[18, 891, 807, 363, 58]"
276,"[807, 18, 1204, 667, 1574]"
277,"[259, 807, 105, 1584, 3]"
278,"[18, 807, 1204, 639, 1544]"
279,"[807, 18, 1491, 1204, 524]"
280,"[403, 1725, 807, 608, 1502]"
281,"[1896, 884, 1574, 1894, 135]"
282,"[18, 1567, 807, 37, 1574]"
283,"[54, 58, 57, 1930, 135]"
284,"[1896, 1906, 901, 1588, 1574]"
285,"[807, 1204, 18, 798, 667]"
286,"[1900, 807, 1573, 1673, 18]"
287,"[18, 1204, 807, 606, 401]"
288,"[807, 18, 1204, 1573, 884]"
289,"[720, 18, 1930, 3, 1592]"
290,"[18, 1204, 1573, 807, 606]"
291,"[1457, 65, 1721, 63, 501]"
292,"[1173, 1166, 1713, 1611, 1587]"
293,"[1902, 420, 1888, 1197, 1700]"
294,"[1574, 18, 1554, 1542, 1612]"
295,"[480, 807, 18, 1917, 1204]"
296,"[18, 1574, 1832, 420, 156]"
297,"[1896, 1894, 1574, 95, 1629]"
298,"[1916, 1589, 1897, 1922, 1563]"
299,"[1628, 1884, 1887, 124, 472]"
300,"[1612, 1626, 1574, 1613, 1069]"
301,"[1544, 1249, 886, 1204, 1574]"
302,"[807, 18, 480, 1574, 661]"
303,"[1249, 18, 807, 160, 1574]"
304,"[1573, 1204, 478, 1924, 807]"
305,"[1770, 18, 403, 807, 1574]"
306,"[18, 1235, 807, 784, 375]"
307,"[403, 807, 73, 1574, 1249]"
308,"[1666, 425, 419, 1574, 1620]"
309,"[18, 807, 1204, 1573, 606]"
310,"[135, 54, 58, 57, 884]"
311,"[18, 807, 1574, 403, 1204]"
312,"[1525, 1888, 1894, 1559, 1524]"
313,"[807, 18, 1204, 1585, 1799]"
314,"[807, 18, 1574, 1204, 1679]"
315,"[1149, 67, 1666, 823, 419]"
316,"[1186, 1725, 739, 608, 1863]"
317,"[1573, 811, 114, 18, 1204]"
318,"[1032, 1194, 1593, 1066, 1517]"
319,"[1902, 114, 807, 1573, 1204]"
320,"[1932, 1574, 1917, 1931, 18]"
321,"[884, 807, 18, 1574, 1194]"
322,"[18, 1896, 807, 480, 54]"
323,"[1428, 1574, 1666, 1006, 731]"
324,"[1573, 18, 1204, 606, 16]"
325,"[807, 1204, 18, 1249, 16]"
326,"[1186, 1607, 1725, 1270, 1896]"
327,"[1574, 868, 811, 18, 1748]"
328,"[891, 926, 807, 1618, 1204]"
329,"[807, 18, 606, 1204, 884]"
330,"[807, 18, 891, 1249, 1204]"
331,"[807, 1461, 1204, 1573, 478]"
332,"[1249, 606, 18, 1204, 1618]"
333,"[1607, 1873, 1832, 1252, 1896]"
334,"[1607, 1825, 478, 1896, 901]"
335,"[18, 807, 1193, 1574, 84]"
336,"[1770, 18, 807, 1717, 403]"
337,"[807, 18, 1204, 723, 708]"
338,"[37, 18, 1567, 156, 160]"
339,"[884, 135, 1903, 58, 57]"
340,"[1573, 114, 18, 807, 1204]"
341,"[18, 807, 1573, 1204, 1574]"
342,"[1902, 665, 420, 1713, 344]"
343,"[114, 1567, 807, 18, 1922]"
344,"[18, 807, 1573, 1204, 53]"
345,"[1095, 1102, 807, 18, 1574]"
346,"[1249, 16, 18, 1204, 606]"
347,"[1573, 18, 606, 807, 1204]"
348,"[1915, 18, 1054, 1249, 419]"
349,"[114, 1573, 807, 1567, 18]"
350,"[807, 1525, 41, 1619, 1412]"
351,"[1204, 807, 1573, 1924, 18]"
352,"[18, 807, 1204, 606, 1573]"
353,"[1573, 884, 1197, 18, 807]"
354,"[1193, 1620, 1612, 1778, 1882]"
355,"[891, 18, 807, 1618, 1544]"
356,"[18, 1915, 807, 1596, 1344]"
357,"[1204, 18, 1573, 807, 478]"
358,"[403, 807, 18, 1567, 1861]"
359,"[1573, 807, 112, 18, 890]"
360,"[1539, 1563, 1564, 1629, 1489]"
361,"[1574, 1194, 1611, 1900, 807]"
362,"[1539, 1563, 884, 1629, 1191]"
363,"[1896, 807, 114, 1907, 478]"
364,"[18, 807, 1574, 480, 1567]"
365,"[1612, 1068, 1620, 1255, 1072]"
366,"[807, 18, 73, 1492, 403]"
367,"[58, 57, 54, 18, 807]"
368,"[1193, 1574, 1025, 160, 930]"
369,"[665, 18, 884, 807, 160]"
370,"[480, 1019, 403, 37, 1574]"
371,"[807, 18, 1574, 501, 1404]"
372,"[1888, 124, 420, 904, 1197]"
373,"[18, 807, 1204, 160, 930]"
374,"[478, 407, 406, 1924, 1573]"
375,"[904, 124, 884, 420, 665]"
376,"[1748, 1574, 103, 868, 503]"
377,"[1900, 1902, 1915, 807, 473]"
378,"[1461, 807, 18, 561, 1204]"
379,"[1587, 1063, 807, 18, 1573]"
380,"[884, 1587, 1574, 1542, 1554]"
381,"[1607, 18, 739, 807, 1725]"
382,"[1457, 1204, 1574, 478, 1900]"
383,"[368, 784, 739, 57, 58]"
384,"[1896, 886, 1193, 1629, 1574]"
385,"[480, 807, 1894, 18, 1579]"
386,"[403, 807, 18, 480, 1204]"
387,"[1567, 18, 807, 1204, 58]"
388,"[1204, 807, 18, 1573, 690]"
389,"[849, 884, 1778, 807, 1863]"
390,"[807, 18, 884, 1619, 1618]"
391,"[1204, 561, 1924, 478, 807]"
392,"[807, 18, 1922, 1897, 1574]"
393,"[1249, 1006, 16, 807, 1574]"
394,"[18, 807, 1525, 645, 650]"
395,"[1567, 1896, 18, 16, 57]"
396,"[478, 18, 1252, 886, 1894]"
397,"[114, 1934, 1922, 1897, 1899]"
398,"[1618, 884, 807, 623, 1809]"
399,"[1574, 18, 37, 1204, 1573]"
400,"[18, 1567, 403, 1063, 1679]"
401,"[1751, 457, 792, 905, 426]"
402,"[807, 1573, 1204, 18, 649]"
403,"[1573, 807, 1194, 544, 1618]"
404,"[807, 18, 1664, 1101, 1573]"
405,"[1778, 1574, 1266, 54, 57]"
406,"[1896, 421, 886, 1613, 1930]"
407,"[807, 1574, 18, 1900, 403]"
408,"[1064, 1926, 1713, 1596, 710]"
409,"[807, 1573, 18, 1574, 544]"
410,"[1041, 1066, 1193, 921, 1069]"
411,"[807, 1536, 1619, 18, 544]"
412,"[891, 1573, 16, 1611, 18]"
413,"[1915, 1574, 1917, 1584, 18]"
414,"[18, 807, 1204, 1573, 1574]"
415,"[57, 58, 54, 1338, 73]"
416,"[1567, 57, 58, 54, 1249]"
417,"[160, 18, 1574, 37, 1773]"
418,"[1592, 1929, 18, 543, 1505]"
419,"[1186, 1602, 1157, 608, 785]"
420,"[1567, 1204, 1574, 739, 807]"
421,"[18, 1204, 1567, 807, 37]"
422,"[1567, 1063, 18, 403, 480]"
423,"[18, 649, 807, 1204, 403]"
424,"[1607, 1186, 608, 1252, 1725]"
425,"[1896, 1607, 1186, 1825, 1573]"
426,"[18, 807, 1204, 667, 41]"
427,"[114, 1573, 807, 1596, 18]"
428,"[1319, 807, 18, 1318, 3]"
429,"[1006, 16, 18, 1567, 891]"
430,"[1567, 807, 18, 1249, 37]"
431,"[18, 807, 1574, 1573, 54]"
432,"[1573, 1574, 18, 807, 48]"
433,"[18, 807, 1915, 1574, 672]"
434,"[1193, 886, 18, 1629, 1574]"
435,"[135, 1573, 54, 57, 58]"
436,"[1574, 1915, 1917, 1194, 1584]"
437,"[403, 1567, 18, 739, 1861]"
438,"[1567, 807, 18, 37, 1204]"
439,"[18, 807, 649, 403, 1574]"
440,"[1896, 1033, 1563, 1574, 1194]"
441,"[807, 18, 1204, 480, 1573]"
442,"[1567, 807, 606, 37, 480]"
443,"[606, 807, 18, 403, 1249]"
444,"[18, 1204, 807, 1573, 606]"
445,"[18, 807, 480, 1574, 58]"
446,"[807, 1204, 18, 1573, 16]"
447,"[1249, 1404, 807, 891, 501]"
448,"[1585, 1563, 1584, 1622, 1249]"
449,"[1587, 1897, 1922, 1905, 103]"
450,"[1193, 1592, 1906, 1591, 1054]"
451,"[1607, 1186, 368, 901, 739]"
452,"[1040, 1574, 1064, 95, 1882]"
453,"[807, 18, 1204, 478, 1544]"
454,"[480, 18, 1574, 403, 1567]"
455,"[224, 508, 259, 18, 216]"
456,"[1896, 18, 807, 1573, 1567]"
457,"[18, 807, 1573, 1596, 1204]"
458,"[18, 449, 1574, 446, 448]"
459,"[1885, 1588, 901, 1906, 615]"
460,"[18, 1300, 1473, 452, 1874]"
461,"[18, 884, 807, 16, 665]"
462,"[420, 672, 160, 448, 411]"
463,"[1194, 1543, 478, 1563, 1884]"
464,"[1204, 1573, 18, 1574, 807]"
465,"[884, 86, 73, 821, 1574]"
466,"[926, 1249, 1619, 1194, 1618]"
467,"[884, 73, 58, 57, 54]"
468,"[807, 18, 1204, 1567, 1573]"
469,"[18, 1204, 1573, 807, 606]"
470,"[1573, 807, 1574, 18, 1611]"
471,"[1249, 18, 1204, 807, 1304]"
472,"[807, 1567, 18, 16, 37]"
473,"[1680, 1929, 1592, 407, 406]"
474,"[1574, 18, 807, 1778, 849]"
475,"[18, 160, 1574, 156, 930]"
476,"[18, 807, 531, 606, 1772]"
477,"[1567, 807, 403, 18, 1574]"
478,"[1896, 1194, 18, 1611, 1567]"
479,"[1563, 1896, 1489, 1539, 807]"
480,"[1186, 1607, 368, 1270, 1157]"
481,"[807, 18, 417, 1666, 1204]"
482,"[807, 18, 1204, 16, 1573]"
483,"[1607, 901, 1725, 1186, 1896]"
484,"[1900, 1573, 1240, 1596, 1563]"
485,"[1573, 18, 868, 37, 807]"
486,"[901, 1607, 1896, 1825, 1611]"
487,"[535, 1573, 455, 114, 1929]"
488,"[1612, 1193, 1927, 1520, 1574]"
489,"[807, 18, 1574, 992, 1638]"
490,"[1900, 478, 1574, 1924, 1884]"
491,"[807, 18, 1204, 606, 1574]"
492,"[783, 1158, 368, 1608, 1186]"
493,"[1249, 18, 807, 1194, 1457]"
494,"[1896, 1191, 18, 807, 884]"
495,"[1894, 1525, 1588, 1564, 1542]"
496,"[120, 1011, 801, 1710, 50]"
497,"[1607, 1906, 901, 1896, 1157]"
498,"[43, 160, 1574, 425, 927]"
499,"[807, 114, 1204, 1604, 1573]"
500,"[18, 807, 884, 1804, 1798]"
501,"[1906, 1573, 1528, 114, 1588]"
502,"[807, 1563, 1594, 1596, 1585]"
503,"[106, 1574, 1596, 1600, 18]"
504,"[1574, 1194, 58, 54, 57]"
505,"[1019, 853, 1725, 1560, 1574]"
506,"[807, 18, 1204, 1575, 1574]"
507,"[1936, 1602, 419, 1935, 407]"
508,"[1906, 1588, 1528, 901, 1529]"
509,"[95, 1574, 480, 18, 1567]"
510,"[807, 1204, 18, 798, 41]"
511,"[114, 807, 1204, 1573, 18]"
512,"[1896, 421, 1778, 1596, 1607]"
513,"[1006, 480, 807, 1574, 18]"
514,"[18, 1459, 1603, 368, 363]"
515,"[1587, 622, 1523, 1194, 1622]"
516,"[807, 1574, 18, 1039, 1573]"
517,"[1906, 1603, 1186, 1304, 1602]"
518,"[1612, 425, 1620, 1194, 1193]"
519,"[18, 807, 16, 375, 1573]"
520,"[1573, 1574, 544, 561, 478]"
521,"[349, 53, 1574, 480, 73]"
522,"[18, 884, 807, 51, 1900]"
523,"[1574, 1249, 900, 1054, 18]"
524,"[728, 1054, 1885, 1809, 1778]"
525,"[501, 18, 1404, 1204, 1573]"
526,"[1249, 1622, 1585, 1563, 1623]"
527,"[926, 470, 620, 1618, 891]"
528,"[1613, 333, 368, 18, 1530]"
529,"[403, 18, 807, 413, 480]"
530,"[1573, 1899, 18, 1907, 48]"
531,"[807, 1574, 1204, 884, 18]"
532,"[1574, 18, 807, 1267, 3]"
533,"[1896, 1573, 18, 807, 1204]"
534,"[403, 18, 807, 1574, 1573]"
535,"[478, 901, 807, 565, 1516]"
536,"[1574, 1809, 160, 1861, 1778]"
537,"[1204, 1573, 786, 807, 606]"
538,"[478, 807, 1567, 403, 1204]"
539,"[105, 720, 476, 1153, 1574]"
540,"[18, 807, 480, 1204, 1574]"
541,"[18, 807, 1204, 1929, 478]"
542,"[114, 1611, 1573, 18, 807]"
543,"[18, 1404, 1588, 1249, 1574]"
544,"[1906, 1588, 1389, 1885, 1193]"
545,"[1832, 1873, 1836, 1831, 1250]"
546,"[1574, 884, 1611, 1194, 18]"
547,"[1607, 1250, 1896, 1825, 1832]"
548,"[18, 807, 1894, 790, 606]"
549,"[1906, 1573, 1924, 1528, 1588]"
550,"[160, 1900, 156, 1069, 1917]"
551,"[1574, 1543, 807, 1193, 1778]"
552,"[1896, 1067, 1056, 677, 1066]"
553,"[1607, 739, 1186, 1302, 608]"
554,"[1607, 1157, 1831, 1835, 368]"
555,"[807, 18, 1457, 661, 1574]"
556,"[807, 1567, 18, 57, 58]"
557,"[57, 54, 58, 135, 1574]"
558,"[1573, 478, 1924, 807, 1574]"
559,"[1748, 811, 868, 103, 1574]"
560,"[1574, 1894, 1560, 1885, 1536]"
561,"[1249, 16, 18, 606, 1573]"
562,"[1896, 1900, 1064, 1066, 1194]"
563,"[18, 807, 649, 160, 635]"
564,"[1924, 478, 1573, 1884, 401]"
565,"[425, 407, 406, 419, 1666]"
566,"[868, 1748, 1574, 811, 103]"
567,"[1525, 1894, 1559, 1524, 1548]"
568,"[807, 18, 1457, 1574, 37]"
569,"[1193, 1899, 1589, 1629, 1621]"
570,"[18, 807, 1607, 1573, 884]"
571,"[1906, 1916, 1588, 1899, 419]"
572,"[1573, 1574, 420, 807, 18]"
573,"[1249, 1896, 1567, 37, 1194]"
574,"[135, 57, 58, 54, 884]"
575,"[807, 884, 1249, 18, 1619]"
576,"[18, 649, 672, 807, 160]"
577,"[18, 807, 798, 606, 1204]"
578,"[1574, 18, 807, 1587, 1194]"
579,"[1574, 95, 884, 37, 18]"
580,"[1574, 1052, 1039, 1591, 1584]"
581,"[1574, 1666, 1194, 256, 1584]"
582,"[1619, 807, 1249, 18, 1194]"
583,"[1066, 1587, 1193, 1916, 1574]"
584,"[1573, 1884, 1924, 478, 1204]"
585,"[807, 18, 1573, 1574, 798]"
586,"[18, 606, 1204, 1592, 1249]"
587,"[18, 1191, 1573, 884, 807]"
588,"[1612, 1574, 1157, 1620, 1040]"
589,"[1193, 1033, 1040, 1586, 1029]"
590,"[1457, 807, 1249, 478, 160]"
591,"[1573, 1461, 1574, 18, 1204]"
592,"[1062, 1249, 1611, 556, 1194]"
593,"[420, 1888, 1902, 1197, 124]"
594,"[18, 480, 1204, 37, 501]"
595,"[807, 18, 1204, 544, 891]"
596,"[807, 1573, 18, 1204, 1567]"
597,"[1574, 18, 37, 807, 884]"
598,"[1915, 807, 18, 1573, 628]"
599,"[884, 1544, 807, 18, 1543]"
600,"[1204, 18, 807, 1249, 1573]"
601,"[160, 884, 403, 1574, 18]"
602,"[807, 18, 58, 57, 54]"
603,"[18, 807, 1204, 662, 1063]"
604,"[1567, 807, 1204, 16, 478]"
605,"[1584, 1915, 1574, 1194, 1563]"
606,"[1574, 1896, 884, 1194, 54]"
607,"[403, 18, 1457, 1404, 1574]"
608,"[807, 1573, 54, 58, 57]"
609,"[1924, 1573, 478, 114, 1204]"
610,"[807, 18, 1573, 1574, 665]"
611,"[18, 807, 798, 639, 401]"
612,"[18, 692, 1573, 1204, 677]"
613,"[1896, 16, 114, 18, 807]"
614,"[1742, 403, 1567, 807, 1679]"
615,"[18, 1574, 160, 1428, 930]"
616,"[1204, 807, 1276, 18, 1574]"
617,"[18, 1619, 1555, 1557, 611]"
618,"[420, 1888, 1902, 1197, 18]"
619,"[1602, 1899, 1935, 1032, 1936]"
620,"[18, 807, 403, 73, 1717]"
621,"[18, 1567, 807, 480, 1573]"
622,"[1574, 1267, 1075, 807, 1664]"
